Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.09841988512367E-05,2.37259713124077E-06,0.0204223779825749,0,0,0,0.310805030676399,0.000130060066627176,1.40022801629673E-09,-5.58328344584131E-08,0.000212083252188243,-1.56227645579612E-09,0.000276271215536127,0,0,0,0,0,0,package://Ass 1.1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1.1/meshes/base_link.STL,,main body-1,mainbody_cord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
big3,-0.0134070886544285,0.00146559841204751,-0.00673551057779109,0,0,0,0.0104336042175876,8.22335040292358E-07,2.61935145644951E-07,-1.2894277006672E-08,3.18984751436731E-06,1.40954031053812E-09,3.9627706999722E-06,0,0,0,0,0,0,package://Ass 1.1/meshes/big3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1.1/meshes/big3.STL,,leg 4-3,big leg 3,big3,jointbig3,revolute,-0.030004,-0.0665,0.03,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
small3,0.0394582340714023,0.0368416725480409,0.00243582660253754,0,0,0,0.0111561368021954,6.43655255680271E-06,-6.3229370913612E-06,-7.10811673037926E-09,7.32047191098462E-06,-6.63741040365017E-09,1.36906272520063E-05,0,0,0,0,0,0,package://Ass 1.1/meshes/small3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1.1/meshes/small3.STL,,leg 3-3,small leg 3,small3,jointsmall3,revolute,-0.049704,0.0054334,-0.005,0,0,0,big3,0,0,-1,0,0,0,0,,,,,,,,
big4,0.0224576054646395,0.00513224980073214,-0.00273603004602135,0,0,0,0.00777564125771859,6.45714526227384E-07,-5.26632271374529E-07,-1.26450924213408E-08,2.82979081547529E-06,-2.88978559758573E-09,3.42452671783293E-06,0,0,0,0,0,0,package://Ass 1.1/meshes/big4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1.1/meshes/big4.STL,,leg 1-3,big leg 4,big4,jointbig4,revolute,0.029996,-0.0665,0.03,-1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
small4,-0.0664136970004676,0.0535961162396307,-0.0119574529093842,0,0,0,0.0268340222050022,7.02864859087569E-06,6.19420931063004E-06,-6.96177758529783E-09,9.72224935986626E-06,6.10002469626266E-09,1.59304666768253E-05,0,0,0,0,0,0,package://Ass 1.1/meshes/small4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1.1/meshes/small4.STL,,leg 2-3,small leg 4,small4,jointsmall4,revolute,0.048743,0.011139,-0.006,0,0,0,big4,0,0,1,0,0,0,0,,,,,,,,
tire34,0.00217112730701572,-0.0530017260825686,0.0855001142820936,0,0,0,6.43417489455155,0.0380101766979838,0.000437602498857918,6.11058573748003E-05,0.0353911818011722,-1.20645409849835E-05,0.0270525455456595,0,0,0,0,0,0,package://Ass 1.1/meshes/tire34.STL,1,1,1,1,0,0,0,0,0,0,package://Ass 1.1/meshes/tire34.STL,,,tire 3 4,tire3-4,jointtire34,floating,-0.081701,0.065954,-0.013,0,0,0,small4,0,0,1,0,0,0,0,,,,,,,,
big1,0.0230137231993178,-0.00102595113315121,0.00273603004602135,0,0,0,0.00777564125771859,5.30172326805182E-07,1.07882210026455E-07,1.29582220100487E-08,2.94533301489749E-06,-5.77672469964852E-10,3.42452671783293E-06,0,0,0,0,0,0,package://Ass 1.1/meshes/big1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1.1/meshes/big1.STL,,leg 1-1,big leg 1,big1,jointbig1,revolute,0.029996,0.0665,0.03,-1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
small1,-0.0583815990055666,0.0622487889263295,0.0119574529093842,0,0,0,0.0268340222050022,8.78964937007165E-06,6.32538839065257E-06,6.60032885441986E-09,7.96124858067029E-06,-6.489399622132E-09,1.59304666768253E-05,0,0,0,0,0,0,package://Ass 1.1/meshes/small1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1.1/meshes/small1.STL,,leg 2-1,small leg 1,small1,jointsmall1,revolute,0.04995,-0.0022268,0.006,0,0,0,big1,0,0,1,0,0,0,0,,,,,,,,
tire12,-0.00889683852979697,-0.050258398320467,-0.0854998857179067,0,0,0,6.43417489455155,0.0380101766979838,0.000437602498857918,6.11058573748007E-05,0.0353911818011722,-1.20645409849869E-05,0.0270525455456595,0,0,0,0,0,0,package://Ass 1.1/meshes/tire12.STL,1,1,1,1,0,0,0,0,0,0,package://Ass 1.1/meshes/tire12.STL,,,tire 1 2,tire1-2,jointtire12,floating,-0.071841,0.076576,0.013,0,0,0,small1,0,0,-1,,,,,,,,,,,,
big2,-0.0129326682114563,0.00382676074840404,0.00673551057779109,0,0,0,0.0104336042175876,9.88913738644862E-07,6.59726234163802E-07,1.24380028097185E-08,3.02326881601479E-06,-3.68038985941867E-09,3.96277069997219E-06,0,0,0,0,0,0,package://Ass 1.1/meshes/big2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1.1/meshes/big2.STL,,leg 4-1,big leg 2,big2,jointbig2,revolute,-0.030004,0.0665,0.03,-1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
