Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.09845282101778E-05,2.37305558925885E-06,0.0204223765462588,0,0,0,0.310805006221372,0.000130060055334067,1.40068261473433E-09,-5.5834613966227E-08,0.000212083244437428,-1.56241494608476E-09,0.00027627121837463,0,0,0,0,0,0,package://FOC_URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/base_link.STL,,mainframe-1,coor_main,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg1_left,0.0228437404724771,0.00297448356009389,0.00273603004602133,0,0,0,0.0077756412577186,5.65788806889821E-07,-3.10466681199791E-07,1.28625098719397E-08,2.90971653481286E-06,1.67483221205042E-09,3.42452671783294E-06,0,0,0,0,0,0,package://FOC_URDF/meshes/leg1_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/leg1_left.STL,,leg1-1,coor_01_left,leg01_left,leg01_left,revolute,0.029996,0.0665,0.03,-1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
leg12_left,-0.0466848300125918,0.0408828561740606,0.00253876564892451,0,0,0,0.0122831195429796,6.08604976285197E-06,6.28410365395957E-06,7.20654648922329E-09,7.74995063233245E-06,-5.80881538188655E-09,1.37770829198511E-05,0,0,0,0,0,0,package://FOC_URDF/meshes/leg12_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/leg12_left.STL,,leg2-1,coor_12_left,leg12_left,leg12_left,revolute,0.049581,0.006456,0.006,0,0,0,leg1_left,0,0,-1,0,0,0,0,,,,,,,,
leg23_left,-0.0388614315247889,-0.0330519585970062,-0.00343582660253762,0,0,0,0.0111561368021954,5.86925345674372E-06,-6.25749618763219E-06,7.40824147483087E-09,7.88777101104361E-06,6.30067445356419E-09,1.36906272520063E-05,0,0,0,0,0,0,package://FOC_URDF/meshes/leg23_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/leg23_left.STL,,leg3-1,coor_23_left,tire_left,leg23_left,revolute,-0.079023,0.06914,0,0,0,0,leg12_left,0,0,-1,0,0,0,0,,,,,,,,
tire_left,9.2148511043888E-15,-9.99200722162641E-16,0.0133518971401668,0,0,0,0.0328045076876881,6.3144578615962E-06,1.21760986167806E-21,-1.68408768202246E-22,6.3144578615962E-06,-3.82932541340979E-20,1.05787727489276E-05,0,0,0,0,0,0,package://FOC_URDF/meshes/tire_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/tire_left.STL,,tire-1,coor_tire_left,tire_left,tire_left,revolute,-0.079023,0.06914,0.0095,0,0,0,leg12_left,0,0,-1,0,0,0,0,,,,,,,,
leg4_left,-0.0133315934472238,0.00204123027878217,0.00673551057779107,0,0,0,0.0104336042175876,8.49244420008175E-07,3.62759145927668E-07,1.28216694376876E-08,3.16293813465149E-06,-1.96315466597069E-09,3.9627706999722E-06,0,0,0,0,0,0,package://FOC_URDF/meshes/leg4_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/leg4_left.STL,,leg4-1,coor_04_left,leg04_left,leg40_left,revolute,-0.030004,0.0665,0.03,-1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
leg43_left,0.0411206964487428,0.0349764119904536,-0.00343582660253755,0,0,0,0.0111561368021954,5.86925345674372E-06,-6.25749618763219E-06,7.40824147483257E-09,7.88777101104361E-06,6.30067445356577E-09,1.36906272520063E-05,0,0,0,0,0,0,package://FOC_URDF/meshes/leg43_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/leg43_left.STL,,leg3-1,coor_43_left,leg43_left,leg43_left,revolute,-0.049424,0.0075674,0.006,0,0,0,leg4_left,0,0,-1,0,0,0,0,,,,,,,,
leg1_right,-0.0227911887514544,-0.00335346783462501,-0.00273603004602134,0,0,0,0.0077756412577186,5.76746542351136E-07,-3.49218596514838E-07,1.28329211282965E-08,2.89875879935154E-06,1.88821568132457E-09,3.42452671783294E-06,0,0,0,0,0,0,package://FOC_URDF/meshes/leg1_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/leg1_right.STL,,leg1-2,coor_01_right,leg01_right,leg01_right,revolute,-0.030004,-0.0665,0.03,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg2_right,0.0457106331447941,0.0419692661331549,-0.00253876564892457,0,0,0,0.0122831195429796,6.3824076492169E-06,-6.31626795518505E-06,7.06796980851464E-09,7.45359274596755E-06,5.97665886833488E-09,1.37770829198511E-05,0,0,0,0,0,0,package://FOC_URDF/meshes/leg2_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/leg2_right.STL,,leg2-2,coor_12_right,leg12_right,leg12_right,revolute,-0.049467,-0.0072786,-0.006,0,0,0,leg1_right,0,0,-1,0,0,0,0,,,,,,,,
leg23_right,0.039870437226612,-0.0318275205226381,0.0034358266025371,0,0,0,0.0111561368021954,5.48222134154417E-06,6.18265586632698E-06,7.60058755499205E-09,8.27480312624313E-06,-6.06725713466104E-09,1.36906272520062E-05,0,0,0,0,0,0,package://FOC_URDF/meshes/leg23_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FOC_URDF/meshes/leg23_right.STL,,leg3-2,coor_23_right,tire_right,leg23_right,revolute,0.077376,0.070979,0,0,0,0,leg2_right,0,0,1,0,0,0,0,,,,,,,,
