Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.0984E-05,2.3726E-06,0.020422,0,0,0,0.31081,0.00013006,1.4002E-09,-5.5833E-08,0.00021208,-1.5623E-09,0.00027627,0,0,0,0,0,0,package://foc_urdf_new/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/base_link.STL,,mainframe-1,coor_main,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg01_left,0.022488,0.0049968,0.002736,0,0,0,0.0077756,6.3945E-07,-5.1343E-07,1.2662E-08,2.8361E-06,2.8135E-09,3.4245E-06,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg01_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg01_left.STL,,leg1-1,coor_01_left,axis01_left,joint01_left,revolute,0.0299960292290543,0.0665,0.0299999999999996,-1.5707963267949,0,0,base_link,0,0,-1,0,0,-1.919,1.221,,,,,,,,
leg12_left,-0.04707,0.040439,0.0035388,0,0,0,0.012283,5.9673E-06,6.2672E-06,7.2612E-09,7.8687E-06,-5.7403E-09,1.3777E-05,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg12_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg12_left.STL,,leg2-1,coor_12_left,axis12_left,joint12_left,revolute,0.0488096092049292,0.0108453699458375,0.005,0,0,0,leg01_left,0,0,1,0,0,0,0,,,,,,,,
tire_left,7.036E-15,5.9952E-15,0.013352,0,0,0,0.032805,6.3145E-06,7.9409E-22,1.752E-21,6.3145E-06,-2.3692E-21,1.0579E-05,0,0,0,0,0,0,package://foc_urdf_new/meshes/tire_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/tire_left.STL,,tire-1,coor_tire_left,tire_left,joint_tire_left,revolute,-0.0796741733500656,0.0683887863686989,0.0105000000000001,0,0,0,leg12_left,0,0,1,0,0,0,0,,,,,,,,
leg04_left,-0.013254,0.002494,0.0067355,0,0,0,0.010434,8.7662E-07,4.4066E-07,1.2747E-08,3.1356E-06,-2.3986E-09,3.9628E-06,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg04_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg04_left.STL,,leg4-1,coor_04_left,axis04_left,joint04_left,revolute,-0.0300039707709457,0.0665,0.0299999999999996,-1.5707963267949,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
leg43_left,0.040242,0.035984,-0.0024358,0,0,0,0.011156,6.1803E-06,-6.2998E-06,7.25E-09,7.5767E-06,6.4822E-09,1.3691E-05,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg43_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg43_left.STL,,leg3-1,coor_43_left,axis43_left,joint43_left,revolute,-0.0491376538616214,0.00924613286598304,0.00500000000000019,0,0,0,leg04_left,0,0,-1,0,0,0.524,2.443,,,,,,,,
leg01_right,-0.022673,0.0040767,-0.002736,0,0,0,0.0077756,6.013E-07,4.2234E-07,1.2766E-08,2.8742E-06,-2.2955E-09,3.4245E-06,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg01_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg01_right.STL,,leg1-2,coor_01_right,axis01_right,joint01_right,revolute,-0.0300039707709457,-0.0665,0.0299999999999996,-1.5707963267949,0,0,base_link,0,0,1,0,0,-1.919,1.221,,,,,,,,
leg12_right,0.046186,0.041445,-0.0015388,0,0,0,0.012283,6.2385E-06,-6.3024E-06,7.1356E-09,7.5975E-06,5.8957E-09,1.3777E-05,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg12_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg12_right.STL,,leg2-2,coor_12_right,axis12_right,joint12_right,revolute,-0.0492108308095336,0.00884839708848127,-0.00700000000000012,0,0,0,leg01_right,0,0,-1,0,0,0,0,,,,,,,,
tire_right,-5.3013E-15,-9.6728E-15,-0.013352,0,0,0,0.032805,6.3145E-06,1.9819E-21,3.993E-21,6.3145E-06,-7.3106E-21,1.0579E-05,0,0,0,0,0,0,package://foc_urdf_new/meshes/tire_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/tire_right.STL,,tire-2,coor_tire_right,tire_right,joint_tire_right,revolute,0.07818,0.070092,-0.0085,0,0,0,leg12_right,0,0,-1,0,0,0,0,,,,,,,,
leg04_right,0.013171,0.0029041,-0.0067355,0,0,0,0.010434,9.0613E-07,-5.0987E-07,1.2667E-08,3.1061E-06,2.793E-09,3.9628E-06,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg04_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_new/meshes/leg04_right.STL,,leg4-2,coor_04_right,axis04_right,joint04_right,revolute,0.029996,-0.0665,0.03,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
