Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.0985E-05,2.3731E-06,0.020422,0,0,0,0.31081,0,0,0,0,0,0,0,0,0,0,0,0,package://foc_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf/meshes/base_link.STL,,mainframe-1,coor_main,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg01_left,0.02164360040863,0.00788914396965384,0.00273603004602131,0,0,0,0.0077756412577186,8.0974092788803E-07,-7.80181429853995E-07,1.218675201773E-08,2.66576441381465E-06,4.44210517689572E-09,3.42452671783294E-06,0,0,0,0,0,0,package://foc_urdf/meshes/leg01_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/leg01_left.STL,,leg1-1,coor_01_left,axis01_left,joint01_left,revolute,0.029996029229054,0.0665000000000001,0.0299999999999997,-1.5707963267949,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
leg12_left,-0.049203090372095,0.0378145101791477,0.00253876564892445,0,0,0,0.0122831195429796,5.29096991824573E-06,6.12657104175428E-06,7.5631789667521E-09,8.54503047693868E-06,-5.33619455783566E-09,1.3777082919851E-05,0,0,0,0,0,0,package://foc_urdf/meshes/leg12_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/leg12_left.STL,,leg2-1,coor_12_left,axis12_left,joint12_left,revolute,0.0469765915200995,0.0171230794296379,0.00600000000000017,0,0,0,leg01_left,0,0,-1,0,0,0,0,,,,,,,,
leg23_left,-0.0356351666546189,-0.0365072283905235,-0.00343582660253758,0,0,0,0.0111561368021954,7.04001293690423E-06,-6.33630644306385E-06,6.79322011961657E-09,6.71701153088307E-06,6.95936065494416E-09,1.36906272520062E-05,0,0,0,0,0,0,package://foc_urdf/meshes/leg23_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/leg23_left.STL,,leg3-1,coor_23_left,tire_left,joint23_left,revolute,-0.083282000427136,0.0639461367469102,0,0,0,0,leg12_left,0,0,-1,0,0,0,0,,,,,,,,
tire_left,1.35030875370035E-14,3.69149155687865E-15,0.0133518971401625,0,0,0,0.0328045076876881,6.3144578615962E-06,-5.29395592033938E-23,1.27833848155711E-21,6.3144578615962E-06,-6.68782135783803E-23,1.05787727489276E-05,0,0,0,0,0,0,package://foc_urdf/meshes/tire_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/tire_left.STL,,tire-1,coor_tire_left,tire_left,joint_tire_left,revolute,-0.0832820004271731,0.0639461367469053,0.00950000000000407,0,0,0,leg12_left,0,0,-1,0,0,0,0,,,,,,,,
leg04_left,-0.0133917854196739,0.00159940244044304,0.00673551057779107,0,0,0,0.0104336042175876,8.27801977631823E-07,2.85522635646174E-07,1.28795591098106E-08,3.18438057702784E-06,-1.53822642959961E-09,3.96277069997221E-06,0,0,0,0,0,0,package://foc_urdf/meshes/leg04_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/leg04_left.STL,,leg4-1,coor_04_left,axis04_left,joint04_left,revolute,-0.0300039707709461,0.0665000000000001,0.0299999999999997,-1.5707963267949,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
leg43_left,0.0377065967962982,0.0386325462558629,-0.00343582660253766,0,0,0,0.0111561368021954,7.04001293690422E-06,-6.33630644306385E-06,6.79322011961829E-09,6.71701153088307E-06,6.95936065494606E-09,1.36906272520062E-05,0,0,0,0,0,0,package://foc_urdf/meshes/leg43_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/leg43_left.STL,,leg3-1,coor_43_left,axis43_left,joint43_left,revolute,-0.0496471723579536,0.0059294415301617,0.00600000000000026,0,0,0,leg04_left,0,0,-1,0,0,0,0,,,,,,,,
leg1_right,-0.0227911887514544,-0.00335346783462503,-0.00273603004602133,0,0,0,0.0077756412577186,5.76746542351136E-07,-3.49218596514838E-07,1.28329211282965E-08,2.89875879935154E-06,1.88821568132457E-09,3.42452671783294E-06,0,0,0,0,0,0,package://foc_urdf/meshes/leg1_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/leg1_right.STL,,leg1-2,coor_01_right,axis01_right,joint01_right,revolute,-0.0300039707709461,-0.0664999999999999,0.0300000000000001,-1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg12_right,0.0457106331447956,0.0419692661331571,-0.00253876564892457,0,0,0,0.0122831195429796,6.3824076492169E-06,-6.31626795518505E-06,7.06796980851464E-09,7.45359274596755E-06,5.97665886833488E-09,1.37770829198511E-05,0,0,0,0,0,0,package://foc_urdf/meshes/leg12_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/leg12_right.STL,,leg2-2,coor_12_right,axis12_right,joint12_right,revolute,-0.0494673872070477,-0.00727857148813968,-0.00600000000000005,0,0,0,leg1_right,0,0,-1,0,0,0,0,,,,,,,,
leg23_right,0.0398704372266141,-0.0318275205226357,0.00343582660253709,0,0,0,0.0111561368021954,5.48222134154417E-06,6.18265586632698E-06,7.60058755499205E-09,8.27480312624313E-06,-6.06725713466105E-09,1.36906272520062E-05,0,0,0,0,0,0,package://foc_urdf/meshes/leg23_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf/meshes/leg23_right.STL,,leg3-2,coor_23_right,tire_right,joint23_right,revolute,0.0773757935946784,0.0709787754585397,0,0,0,0,leg12_right,0,0,1,0,0,0,0,,,,,,,,
