Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.0985E-05,2.3731E-06,0.020422,0,0,0,0.31081,0,0,0,0,0,0,0,0,0,0,0,0,package://foc_urdf_1/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/base_link.STL,,mainframe-1,coor_main,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg01_left,0.0230365078129693,-5.77841267789814E-05,0.00273603004602134,0,0,0,0.0077756412577186,5.25378196879498E-07,6.08222231818062E-09,1.29710510308301E-08,2.95012714482318E-06,-3.25315204809691E-11,3.42452671783294E-06,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg01_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg01_left.STL,,leg1-1,coor_01_left,axis01_left,joint01_left,revolute,0.029996029229054,0.0665000000000001,0.0299999999999997,-1.5707963267949,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
leg12_left,-0.0336865930543518,0.0521161657323712,0.00253876564892448,0,0,0,0.0122831195429796,9.52501582941568E-06,5.77802472779415E-06,5.33772807795868E-09,4.31098456576876E-06,-7.56209676002349E-09,1.37770829198511E-05,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg12_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg12_left.STL,,leg2-1,coor_12_left,axis12_left,joint12_left,revolute,0.0499998427019947,-0.00012541840275665,0.00600000000000017,0,0,0,leg01_left,0,0,-1,0,0,0,0,,,,,,,,
leg23_left,-0.0436651884665353,-0.0263817009201858,-0.00343582660253761,0,0,0,0.0111561368021954,3.93747605392217E-06,-5.61472777662321E-06,8.32397725561923E-09,9.81954841386516E-06,5.02910956005743E-09,1.36906272520063E-05,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg23_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg23_left.STL,,leg3-1,coor_23_left,tire_left,joint23_left,revolute,-0.0570383994400206,0.0881567977487877,0,0,0,0,leg12_left,0,0,-1,0,0,0,0,,,,,,,,
tire_left,2.75779399316889E-13,1.41858746971479E-13,0.0133518971400557,0,0,0,0.0328045076876881,6.3144578615962E-06,1.16467030247466E-21,-2.15944805916845E-22,6.3144578615962E-06,-3.82565751391236E-20,1.05787727489276E-05,0,0,0,0,0,0,package://foc_urdf_1/meshes/tire_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/tire_left.STL,,tire-1,coor_tire_left,tire_left,tire_left,revolute,-0.0570383994403243,0.0881567977486455,0.00950000000011297,0,0,0,leg12_left,0,0,-1,0,0,0,0,,,,,,,,
leg04_left,-0.00995551655892177,0.00909866445903532,0.00673551057779107,0,0,0,0.0104336042175876,1.89727084068589E-06,1.20749615395569E-06,9.57472509983297E-09,2.11491171397377E-06,-8.75064698604971E-09,3.9627706999722E-06,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg04_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg04_left.STL,,leg4-1,coor_04_left,axis04_left,joint04_left,revolute,-0.0300039707709461,0.0665000000000001,0.0299999999999997,-1.5707963267949,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
leg43_left,0.0462041973157181,0.0279183313000666,-0.00343582660253752,0,0,0,0.0111561368021954,3.93747605392217E-06,-5.61472777662321E-06,8.32397725562076E-09,9.81954841386516E-06,5.02910956005849E-09,1.36906272520063E-05,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg43_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg43_left.STL,,leg3-1,coor_43_left,axis43_left,joint43_left,revolute,-0.0369079425202793,0.0337313471257785,0.0060000000000001,0,0,0,leg04_left,0,0,-1,0,0,0,0,,,,,,,,
leg1_right,-0.0227911887514544,-0.00335346783462503,-0.00273603004602133,0,0,0,0.0077756412577186,5.76746542351135E-07,-3.49218596514838E-07,1.28329211282965E-08,2.89875879935154E-06,1.88821568132457E-09,3.42452671783294E-06,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg1_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg1_right.STL,,leg1-2,coor_01_right,axis01_right,joint01_right,revolute,-0.0300039707709461,-0.0664999999999999,0.0300000000000001,-1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg12_right,0.045710633144795,0.0419692661331561,-0.00253876564892457,0,0,0,0.0122831195429796,6.3824076492169E-06,-6.31626795518505E-06,7.06796980851462E-09,7.45359274596755E-06,5.97665886833486E-09,1.37770829198511E-05,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg12_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg12_right.STL,,leg2-2,coor_12_right,axis12_right,joint12_right,revolute,-0.0494673872070477,-0.00727857148813968,-0.00600000000000005,0,0,0,leg1_right,0,0,-1,0,0,0,0,,,,,,,,
leg23_right,0.039870437226613,-0.0318275205226369,0.00343582660253711,0,0,0,0.0111561368021954,5.48222134154417E-06,6.18265586632697E-06,7.60058755499205E-09,8.27480312624312E-06,-6.06725713466102E-09,1.36906272520062E-05,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg23_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://foc_urdf_1/meshes/leg23_right.STL,,leg3-2,coor_23_right,tire_right,joint23_right,revolute,0.0773757935946784,0.0709787754585397,0,0,0,0,leg12_right,0,0,1,0,0,0,0,,,,,,,,
